name,ingredients,ingredients_measurements,recipe,garnish,glass
summer orchard,"brut champagne, gin, red apple, red wine vinegar, watermelon sugar syrup","[['4 slice', 'Red apple'], ['4.5 cl', 'Caorunn Gin'], ['1 cl', 'Red wine vinegar'], ['1 cl', 'Watermelon sugar syrup'], ['Top up with', 'Brut Champagne']]","MUDDLE apple in base of shaker. Add other ingredients, SHAKE with ice and fine stain into chilled glass. TOP with sparking wine.",Juniper berries,Coupe glass
the balmenach,"gin, honey sugar syrup, jagermeister, lemon juice, red apple","[['3 slice', 'Red apple'], ['4 cl', 'Caorunn Gin'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['2 cl', 'Honey sugar syrup'], ['0.5 cl', 'Jägermeister']]","MUDDLE apple in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Drop Scottish summer harvest cold pressed rapeseed oil & coul blush apple fan garnish sprayed with Angostura Bitters mist.,Martini glass
pink evergreen boost,"*special ingredient #1, angostura aromatic bitters, gin, grapefruit juice, soda water","[['5 cl', 'Caorunn Gin'], ['5 cl', 'Grapefruit juice (pink)'], ['2.5 cl', '*Special ingredient #1 (see above)'], ['2 dash', 'Angostura Aromatic Bitters'], ['1 Splash', 'Thomas Henry Soda Water']]","SHAKE first 4 ingredients with ice and strain into glass filled with crushed ice. TOP with soda.

Special ingredient #1: Homemade honey and rosemary syrup","Salt & brown sugar rim, garnish with rosemary sprig & pink grapefruit wedge.",Snifter glass
capitol apple g&t,"*special ingredient #1, drambuie liqueur, gin, lemon juice, tonic water","[['4.5 cl', 'Caorunn Gin'], ['2 cl', 'Drambuie liqueur'], ['3 cl', '*Special ingredient #1 (see above)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['4.5 cl', 'Thomas Henry Tonic Water']]","STIR first 4 ingredients with ice and strain into ice-filled glass. TOP with tonic.

Special ingredient #1: Ginger-infused apple juice",Green & red apple peel ribbons,Highball (max 10oz/300ml)
essenziale,"apple cider vinegar, fernet liqueur, gin, italicus liqueur, pear preserve/jam","[['6 cl', 'Caorunn Gin'], ['0.5 cl', 'Fernet liqueur'], ['1.5 cl', 'Italicus liqueur'], ['0.5 cl', 'Apple Cider vinegar'], ['1 spoon', 'Pear preserve/jam']]",SHAKE all ingredients with ice and fine strain into ice-filled glass (preferably over a chunk of block ice),Edible flower,Old-fashioned glass
fifth greal,"'simple' sugar syrup, *special ingredient #1, benedictine d.o.m., gin, green olives","[['2 whole', 'Green olives (pitted)'], ['5 cl', 'Caorunn Gin'], ['1.5 cl', 'Bénédictine D.O.M.'], ['2 cl', '*Special ingredient #1 (see above)'], ['0.5 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""]]","MUDDLE olives in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.

Special ingredient #1: Soft apple citric acid (70ml 100% apple juice, 30ml / 1oz filtered water, 7g of citric acid)",Dehydrated apple cut around the 5 seedplaces.,Coupe glass
five inspirations,"*special ingredient #1, apple juice, apple schnapps liqueur, gin, orange curacao liqueur","[['4.5 cl', 'Caorunn Gin'], ['4.5 cl', 'Apple Schnapps liqueur'], ['1 cl', 'Orange Curaçao liqueur'], ['2 cl', 'Apple juice'], ['1 cl', '*Special ingredient #1 (see above)']]","STIR all ingredients with ice and strain into ice-filled glass.

Special ingredient #1: Homemade sour mix (50% sugar & 50 citrus)",Red apple slices,Collins glass
blythswood square punch,"fernet liqueur, gin, homemade ginger juice syrup, honey water, lemon juice, medium dry apple cider","[['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Honey water (1:1)'], ['1.5 cl', 'Homemade ginger juice syrup (1:1)'], ['0.5 cl', 'Fernet liqueur'], ['4.5 cl', 'Medium dry apple cider']]",SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with cider.,Rosemary sprig & candied ginger,Collins glass
ruby & diamond,"*special ingredient #1, fino sherry, gin, green chartreuse liqueur, peychaud's or other creole-style bitters","[['5 cl', 'Caorunn Gin'], ['0.5 cl', 'Green Chartreuse liqueur'], ['0.5 cl', 'Fino sherry'], ['0.5 cl', '*Special ingredient #1 (see above)'], ['5 dash', ""Peychaud's or other Creole-style bitters""]]","STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).

Special ingredient #1: Homemade saffron syrup (200ml water, 200g sugar and pinch saffron)",Red apple slices & lemon zest twist,Old-fashioned glass
touch malum,"*special ingredient #1, drambuie liqueur, gin, lemon juice, red apple","[['1⁄4 fresh', 'Red apple'], ['5 cl', 'Caorunn Gin'], ['1 cl', 'Drambuie liqueur'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', '*Special ingredient #1 (see above)']]","MUDDLE apple in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.

Special ingredient #1: Saffron syrup",Float star cut from apple,Coupe glass
thyme will tell.,"*special ingredient #1, apple juice, gin, lime juice, thyme sprig","[['2 fresh', 'Thyme sprig'], ['6 cl', 'Caorunn Gin'], ['5 cl', 'Apple juice'], ['3 cl', 'Lime juice (freshly squeezed)'], ['3 cl', '*Special ingredient #1 (see above)']]","SHAKE all ingredients with ice and strain into ice-filled glass.

Special ingredient #1: Homemade Saffron syrup (3 teaspoons saffron, 1kg white sugar, 1ltr water)",Caramelised apple slice & thyme sprig,Collins glass
mirage,"*special ingredient #1, gin, lime juice, pasteurised egg white, sugar syrup","[['6 cl', 'Caorunn Gin'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', '*Special ingredient #1 (see above)']]","SHAKE 4 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass (no ice). TOP with apple cream soda from a siphon.

Special ingredient #1 Apple cream soda – add the following to a siphon:

45ml Egg white
10 slices caramalized green and red apples (caramalise with butter and brown sugar)
350ml Pressed apple juice
9 drops Vanilla bitters
Seal siphon and charge",Dehydrated candied green apple slice,Collins glass
splifficated beat,"beetroot syrup, black walnut bitters, gin, lime juice, orange curacao liqueur","[['4.5 cl', 'Caorunn Gin'], ['1 cl', 'Orange Curaçao liqueur'], ['2.5 cl', 'Beetroot syrup'], ['2.5 cl', 'Lime juice (freshly squeezed)'], ['1 drop', 'Black walnut bitters']]","SHAKE all ingredients with ice and fine strain into ice-filled glass. (Originally, this cocktail was served in a tonic bottle in a brown paper bag for the drinker to pour themselves.)",Lime zest twist,Old-fashioned glass
the scot & the tiger,"*special ingredient #1, apple juice, gin, pasteurised egg white, yuzu juice","[['6 cl', 'Caorunn Gin'], ['3 cl', 'Apple juice'], ['2.25 cl', 'Yuzu juice'], ['3 cl', '*Special ingredient #1 (see above)'], ['1.5 cl', 'Pasteurised egg white']]","SHAKE all ingredients with ice and fine strain into ice-filled glass (preferably over block ice).

Special ingredient #1: Lychee, lemongrass & sour plum infusion",Lychee & edible flower,Old-fashioned glass
sona,"*special ingredient #1, apple juice, calamansi juice, coriander / cilantro leaves, gin","[['2 sprig', 'Coriander / cilantro leaves'], ['6 cl', 'Caorunn Gin'], ['4 cl', '*Special ingredient #1 (see above)'], ['2 cl', 'Apple juice'], ['3 cl', 'Calamansi juice']]","MUDDLE coriander in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.

Special ingredient #1: Homemade orange & cardamom sugar (1:1)",Roasted bayleaf & dehydrated green apple slice,Wine glass
you shrub up well!,"*special ingredient #1, apple juice, aquafaba, brut champagne, gin","[['5 cl', 'Caorunn Gin'], ['2.5 cl', 'Apple juice'], ['2 cl', 'Aquafaba (chickpea water)'], ['3 cl', '*Special ingredient #1 (see above)'], ['2.5 cl', 'Brut Champagne']]","Method: SHAKE first 4 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass. TOP with sparkling wine.

Special ingredient #1: Homemade raspberry & burnt wildflower honey shrub","Raspberry, apple slice & edible flower",Wine glass
red blossom,"*special ingredient #1, cranberry juice, gin, lemon juice, raspberry puree","[['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'Raspberry puree'], ['1.5 cl', '*Special ingredient #1 (see above)'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['7 cl', 'Cranberry juice (sweetened)']]","SHAKE all ingredients with ice and fine strain into ice-filled glass (preferably over a chunck of block ice).

Special ingredient #1: Rosemary infused sugar syrup","Dehydrated green apple slice, star anise & rosemary sprig",Old-fashioned glass
red blossom,"*special ingredient #1, cranberry juice, gin, lemon juice, raspberry puree","[['6 cl', ""Hendrick's Midsummer Solstice Gin""], ['4.5 cl', 'Grapefruit juice (ruby red)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Rosemary sugar syrup (1:1)']]",Shake all ingredients in a cocktail shaker with ice and strain into a rocks glass filled with ice.,Garnish with a zest of ruby grapefruit or a rosemary sprig.,Rocks glass
forager,"*special ingredient #1, apple juice, gin, lime juice, red jalapeno/fresno chili deseeded & chopped","[['1 slice', 'Red jalapeño/fresno chili (10,000 SHU) deseeded & chopped (fine sliced)'], ['4.5 cl', 'Caorunn Gin'], ['3 cl', 'Apple juice'], ['1.5 cl', '*Special ingredient #1 (see above)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]","MUDDLE chilli in base of shaker. Add other ingredients, shake with ice and fine strain into chilled glass.

Special ingredient #1: Homemade lemongrass syrup (1:1)",Birds eye chilli on rim,Martini glass
orchard breeze,"*special ingredient #1, difford's falernum liqueur, gin, lime juice, prosecco sparkling wine","[['4.5 cl', 'Ketel One Vodka'], ['2 cl', 'St-Germain elderflower liqueur'], ['2 cl', 'Sauvignon blanc wine'], ['6 cl', 'Apple juice'], ['0.75 cl', 'Lime juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Apple slice,Collins glass
orchard breeze,"*special ingredient #1, difford's falernum liqueur, gin, lime juice, prosecco sparkling wine","[['6 cl', 'Caorunn Gin'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', ""Difford's Falernum liqueur""], ['12 cl', 'Prosecco sparkling wine'], ['1 scoop', '*Special ingredient #1 (see above)']]","BLEND all ingredients with crushed ice and pour into glass.

Special ingredient #1: Honey crisp apple sorbet (or other flavour of sorbet)",Honeycomb,Poco grande
highland blossom,"gin, italian red bitter liqueur, meletti amaro, speyside single malt scotch whisky, sweet vermouth","[['0.75 cl', 'Speyside single malt Scotch whisky'], ['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'Italian red bitter liqueur'], ['1.5 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Meletti amaro']]","Fill glass with ice, add single malt scotch and set aside. Separately, STIR other ingredients with ice. Discard ice and scotch from glass and fill with fresh ice (preferably one large cube of block ice). Strain stirred ingredients into glass.",Lemon zest twist,Rocks glass
the royal balkan,"benedictine d.o.m., bob's grapefruit bitters, gin, montenegro amaro, tonic water","[['4.5 cl', 'Caorunn Gin'], ['3 cl', 'Montenegro amaro'], ['2.5 cl', 'Bénédictine D.O.M.'], ['2 dash', ""Bob's Grapefruit Bitters""], ['Top up with', 'Thomas Henry Tonic Water']]",POUR ingredients into ice-filled glass and briefly stir.,Orange zest twist & mist with scotch whisky,Highball (max 10oz/300ml)
osmo cup,"*special ingredient #1, banana liqueur, chardonnay white wine, gin, st-germain elderflower liqueur","[['5 cl', 'Caorunn Gin'], ['0.75 cl', 'St-Germain elderflower liqueur'], ['1 cl', 'Chardonnay (Chablis) white wine'], ['0.5 cl', 'Giffard Banane du Brésil liqueur'], ['1.5 cl', '*Special ingredient #1 (see above)']]","SHAKE all ingredients with ice and fine strain into chilled glass.


Special ingredient #1 *Osmose apple cordial shrub
Cut one apple very finely with a mandolin (do not shred otherwise you’ll end up with a very milky syrup). Add same weight of sugar, a pinch of black tea and dried rose petals. Ideally, vacuum seal for 24h or until the sugar dissolves or alternatively use a sealable glass jar. Strain into clean container and add same amount of apple cider vinegar and half of apple juice.",Apple lollypop 4mm thich 2cm apple circle caramelised with sugar and torch and added popping sugar to one side & apple blossom (when available),Coupe glass
highland moor,"*special ingredient #1, gin, green chartreuse liqueur, lime juice, rosemary sprig","[['0.5 cl', 'Green Chartreuse liqueur'], ['1 sprig', 'Rosemary sprig'], ['5 cl', 'Caorunn Gin'], ['3.5 cl', 'Lime juice (freshly squeezed)'], ['2.5 cl', '*Special ingredient #1 (see above)']]","POUR green chartreuse into glass over rosemary sprig, ignite and allow to burn for 5 seconds before covering glass to extinguish. SHAKE other ingredients with ice and fine strain into pre-prepared glass.

Special ingredient #1: Homemade rosemary sugar syrup",Rosemary sprig & apple slice flambéed with brown sugar,Rocks glass
thyme for nettles,"*special ingredient #1, angostura aromatic bitters, bigallet thym, gin, grapefruit juice","[['4 cl', 'Caorunn Gin'], ['1 cl', 'Bigallet Thym'], ['1 cl', '*Special ingredient #1 (see above)'], ['1.5 cl', 'Grapefruit juice (pink)'], ['2 drop', 'Angostura Aromatic Bitters']]","SHAKE all ingredients with ice and fine strain into chilled glass.

Special ingredient #1: Homemade nettle syrup",Viola flower & fresh thyme sprig,Coupe glass
dopo la tempesta,"gin, luxardo maraschino liqueur, muyu chinotto nero liqueur, peychaud's or other creole-style bitters, sugar cube","[['1 cube', 'Sugar cube'], ['5 cl', 'Caorunn Gin'], ['0.25 cl', 'Muyu Chinotto Nero liqueur'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]","MUDDLE sugar cube with gin until dissolved. Add other ingredients, STIR with ice and strain into ice-filled glass.",Lime wheel & maraschino cherry,Old-fashioned glass
seonaidh,"avallen calvados, creme de framboise, gin, lavender sugar syrup, lemon juice","[['5 cl', 'Caorunn Gin'], ['2 cl', 'Avallen Calvados'], ['1.5 cl', 'Giffard Creme de Framboise'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Lavender sugar syrup']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lavender sprig pegged to rim,Coupe glass
angelo's summer,"*special ingredient #1, creme de violette liqueur, gin, lemon juice, pasteurised egg white","[['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'Crème de violette liqueur'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['2 cl', '*Special ingredient #1 (see above)'], ['1.5 cl', 'Pasteurised egg white']]","SHAKE all ingredients with ice and fine strain into chilled glass.

Special ingredient #1: Orange & applewood smoked dulse syrup
Top make 250ml syrup:
5 grams Mara applewood and smoked dulse seaweed
1 full peeled orange
250ml Sugar syrup 1:1
Put all the ingredients in a sauce pan and for 15 minutes at low/medium heat.",Dehydrated red apple slice & lemon wheel crowned with edible flower,Coupe glass
last canvas,"*special ingredient #1, apple juice, difford's saline solution, gin, whisky","[['4.5 cl', 'Caorunn Gin'], ['0.5 cl', 'Islay single malt (peated) Scotch whisky'], ['4.5 cl', 'Apple juice'], ['4 cl', '*Special ingredient #1 (see above)'], ['3 dash', ""Difford's Saline Solution (or ½ pinch salt)""]]","SHAKE all ingredients with ice and fine strain into chilled glass.

Special ingredient #1: Strawberry shrub made with apple vinegar and sugar.",Shot of dilute Islay single malt scotch whisky on the side,Old-fashioned glass
spring storm,"blueberry tea, gin, lemon juice, orange oleo saccharum, whisky","[['6 cl', 'Caorunn Gin'], ['0.5 cl', 'Islay single malt (peated) Scotch whisky'], ['2 cl', 'Orange oleo saccharum'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Blueberry tea']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Apple slice fan,Coupe glass
colorunn,"carbonated/sparkling/selzer mineral water, elderflower syrup, gin, lime juice, spicy mango syrup","[['4.5 cl', 'Caorunn Gin'], ['1 cl', 'Spicy mango syrup'], ['1 cl', 'Elderflower syrup'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4 cl', 'Carbonated/Sparkling/Selzer mineral water']]",SHAKE first 4 ingredients with the ice and sine strain into chilled glass. TOP with sparkling water and briefly stir.,Orange zest twist & lavender,Coupe glass
the pink slip,"cranberry juice, gin, lemon juice, lemonade, st-germain elderflower liqueur","[['6 cl', 'Caorunn Gin'], ['2.25 cl', 'St-Germain elderflower liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Cranberry juice (sweetened)'], ['2.25 cl', 'Lemonade']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Float dehydrated lemon wheel,Martini glass
silent breeze,"*special ingredient #1, gin, kwai feh lychee liqueur, lemon juice, orange bitters","[['5 cl', 'Caorunn Gin'], ['2.5 cl', 'Kwai Feh lychee liqueur'], ['2 cl', '*Special ingredient #1 (see above)'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura']]","SHAKE all ingredients with ice and fine strain into ice-filled glass.

Special ingredient #1: Homemade infused rose syrup",Mint sprig & dehydrated lemon,Old-fashioned glass
forbidden fruits,"*special ingredient #1, damson plum preserve, english sparkling wine, gin, quince bitters","[['4 fresh', 'Blueberries (fresh)'], ['4 fresh', 'Blackberries'], ['4 fresh', 'Raspberries (fresh)'], ['4 fresh', 'Small ripe strawberries (hulled)'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Ginger Beer']]","MUDDLE berries in base of shaker. Add next three ingredients, SHAKE with ice and strain into glass filled with crushed ice. TOP with ginger beer.",Seasonal berries,Collins glass
forbidden fruits,"*special ingredient #1, damson plum preserve, english sparkling wine, gin, quince bitters","[['4.5 cl', 'Caorunn Gin'], ['4 cl', '*Special ingredient #1 (see above)'], ['1 spoon', 'Damson plum preserve'], ['3 dash', 'Quince bitters'], ['3.5 cl', 'English sparkling wine']]","SHAKE first 4 ingredients with ice and fine strain into chilled glass. TOP with sparkling wine.

Special ingredient #1: Homemade apple shrub",Float edible flower,Coupe glass
real bees knees,"*special ingredient #1, apple cider vinegar, gin, lemon juice, orange flower/blossom water","[['5 cl', 'Caorunn Gin'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', '*Special ingredient #1 (see above)'], ['2 dash', 'Apple Cider vinegar'], ['1 dash', 'Orange flower/blossom water']]","SHAKE all ingredients with ice and fine strain into a chilled glass.

Special ingredient #1: 3 Dimensional honey water – honey & water with added bee pollen, and propolis.",Dehydrated lemon slice,Coupe glass
adam's apple,"*special ingredient #1, cawston press apple & ginger, gin, lemon juice, noir de bourgogne cassis","[['4.5 cl', 'Caorunn Gin'], ['1 cl', 'Giffard Noir de Bourgogne Cassis'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', '*Special ingredient #1 (see above)'], ['2 cl', 'Cawston Press Apple & Ginger']]","SHAKE all ingredients with ice and strain into ice-filled glass.

Special ingredient #1: Stout Reduction",Lemon zest twist (discard),Highball (max 10oz/300ml)
dastardly,"*special ingredient #1, calamansi juice, gin, lemon juice, suze gentian liqueur","[['4.5 cl', 'Caorunn Gin'], ['1 cl', 'Suze gentian liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Calamansi juice'], ['3 cl', '*Special ingredient #1 (see above)']]","SHAKE all ingredients with ice and fine strain into chilled glass.

Special ingredient #1: Homemade pandan syrup",Scorched pandan leaf,Coupe glass
scots law,"blackberries, gin, honey water, lemon juice, thyme sprig","[['2 fresh', 'Blackberries'], ['3 fresh', 'Thyme sprig'], ['5 cl', 'Caorunn Gin'], ['1 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Honey water (1:1)']]","MUDDLE berries and thyme in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Thyme sprig,Coupe glass
return to eden,"*special ingredient #1, apple cider vinegar, fresh dill, gin, salt","[['5 gram', 'Fresh dill'], ['4 cl', 'Caorunn Gin'], ['2 cl', '*Special ingredient #1 (see above)'], ['1.5 cl', 'Apple Cider vinegar'], ['1 pinch', 'Salt']]","MUDDLE dill in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.

Special ingredient #1: Brickford's cloudy apple cordial (or substitute with 10ml fresh apple juice and 10ml sugar syrup).","Dill sprig & pinch of red, black & white pepper",Coupe glass
the crummble land,"cinnamon whisky, gin, honey syrup, peychaud's or other creole-style bitters, tonic water","[['4 cl', 'Caorunn Gin'], ['0.75 cl', 'Cinnamon whisk(e)y'], ['0.5 cl', 'Honey syrup (3 honey to 1 water)'], ['3 dash', ""Peychaud's or other Creole-style bitters""], ['8 cl', 'Thomas Henry Tonic Water']]",POUR ingredients into ice-filled glass. TOP with tonic and briefly stir.,Apple slices dusted with cinnamon & flamed,Collins glass
easy d.,"*special ingredient #1, gin, orgeat syrup, riesling wine, whisky","[['4.5 cl', 'Caorunn Gin'], ['0.5 cl', 'Islay single malt (peated) Scotch whisky'], ['2 cl', 'Riesling wine'], ['1 cl', 'Giffard Orgeat Syrup'], ['3 cl', '*Special ingredient #1 (see above)']]","SHAKE first 4 ingredients with ice and fine strain into chilled glass. TOP with sparkling solution.

Special ingredient #1: 30ml 5% salted sparkling malic acid solution (dissolve 3 flakes of maldon salt and 2.5g of malic acid powder in 50ml of ice cold sparkling water)",,Flute glass
light ka-roon summer,"apple juice, gin, lemon juice, pamplemousse liqueur, sugar syrup","[['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'Giffard Pamplemousse liqueur'], ['2.5 cl', 'Apple juice'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",THROW all ingredients with ice and strain into chilled glass.,Dehydrated apple slice,Coupe glass
beauty & the beast,"*special ingredient #1, apple juice, gin, lime juice, pasteurised egg white","[['4.5 cl', 'Caorunn Gin'], ['3 cl', 'Apple juice'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', '*Special ingredient #1 (see above)'], ['3 cl', 'Pasteurised egg white']]","SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.

Special ingredient #1: Homemade rosemary & ginger syrup","Rosemary sprig, ginger slice & spray red wine",Old-fashioned glass
the piper's kilt,"gin, honey, lemon juice, pink peppercorns, raspberries","[['5 dried', 'Pink peppercorns'], ['5 fresh', 'Raspberries (fresh)'], ['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Honey']]",MUDDLE peppercorns and raspberries in base of shaker. Add other ingredients and stir to ensure honey is dissolved. SHAKE with ice and fine strain into chilled glass.,Lemon zest twist & float of Islay single malt scotch whisky.,Coupe glass
le fleur sauvage,"gin, grapefruit juice, honey sugar syrup, orange bitters, st-germain elderflower liqueur","[['4.5 cl', 'Caorunn Gin'], ['2.5 cl', 'St-Germain elderflower liqueur'], ['2.5 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Honey sugar syrup'], ['1 dash', 'Orange Bitters by Angostura']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lime zest twist,Coupe glass
urban sherry,"*special ingredient #1, fino sherry, gin, lemon bitters, luxardo maraschino liqueur","[['5 cl', 'Caorunn Gin'], ['0.75 cl', '*Special ingredient #1 (see above)'], ['0.75 cl', 'Fino sherry'], ['5 drop', 'Luxardo Maraschino liqueur'], ['2 drop', 'Lemon bitters']]","STIR all ingredients with ice and strain into chilled glass.

Special ingredient #1: Sacred English Amber Vermouth",Lemon zest twist,Coupe glass
epsilon,"amontillado sherry, gin, orange bitters, pineapple liqueur, tonic water","[['4.5 cl', 'Caorunn Gin'], ['1.5 cl', 'De Kuyper Pineapple liqueur'], ['0.75 cl', 'Amontillado sherry'], ['4.5 cl', 'Thomas Henry Tonic Water'], ['1 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Coupe glass
lost & found,"*special ingredient #1, angostura aromatic bitters, gin, soda water, sugar syrup","[['6 cl', 'Caorunn Gin'], ['3 cl', '*Special ingredient #1 (see above)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['6 dash', 'Angostura Aromatic Bitters'], ['3 cl', 'Thomas Henry Soda Water']]","SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda.

Special ingredient #1: Homemade apple & thyme shrub","Li Hing Mui Plum Powder rimmed glass, garnished with apple slice & thyme sprig",Collins glass
composition no.5,"apple juice, celery bitters, elderflower syrup, gin, tonic water","[['4.5 cl', 'Caorunn Gin'], ['4.5 cl', 'Apple juice'], ['0.75 cl', 'Elderflower syrup'], ['2 dash', 'Celery bitters'], ['7.5 cl', 'Thomas Henry Tonic Water']]",THROW first 4 ingredients with ice and strain into chilled glass. TOP with tonic water.,"Dill sprig, sliced apple & orange zest twist",Wine glass
apple days,"apple schnapps liqueur, apple sugar syrup, gin, lemon juice, pasteurised egg white","[['5 cl', 'Caorunn Gin'], ['2 cl', 'Apple Schnapps liqueur'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Apple sugar syrup'], ['2 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain tinto chilled glass.,"Sugar crust rim, lemon zest twist (discard) & dehydrated apple slice",Coupe glass
apple blush,"*special ingredient #1, apple juice, gin, lemon juice, spiced apple bitters","[['5 cl', 'Caorunn Gin'], ['3 cl', 'Apple juice'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['2 cl', '*Special ingredient #1 (see above)'], ['3 drop', 'Spiced apple bitters']]","SHAKE all ingredients with ice and fine strain into chilled glass.

Special ingredient #1: Homemade rosemary & cinnamon sugar syrup",Rosemary sprig & red apple slice fan,Martini glass
cider flip,"*special ingredient #1, egg white, egg yolk, gin, lemon juice",,,,
smokey smoke,"gin, lapsang souchong tea, lemon juice, orange marmalade, sugar syrup","[['2 spoon', 'Orange marmalade'], ['6 cl', 'Caorunn Gin'], ['3 cl', 'Lapsang Souchong tea (cold)'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","STIR marmalade with gin in base of shaker to help dissolve marmalade. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass (preferably over a chunk of block ice).",Dried tea leaves,Old-fashioned glass
scottish gin twist,"*special ingredient #1, egg white, gin, lemon juice, raspberries","[['6 fresh', 'Raspberries (fresh)'], ['5 cl', 'Caorunn Gin'], ['3.75 cl', '*Special ingredient #1 (see above)'], ['1.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Egg white']]","MUDDLE raspberries in base of shaker, add other ingredients, SHAKE with ice and fine strain into chilled glass.

Special ingredient #1: Homemade apple syrup",Dehydrated apple slice,Coupe glass
bee simple,"carbonated/sparkling/selzer mineral water, gin, heather honey, orange bitters, orange flower/blossom water","[['5 cl', 'Caorunn Gin'], ['1 cl', 'Heather honey'], ['3 dash', 'Orange Bitters by Angostura'], ['2.5 cl', 'Carbonated/Sparkling/Selzer mineral water'], ['2 drop', 'Orange flower/blossom water']]",POUR all ingredients into glass filled with crushed ice and churn.,Mint sprigs & bee pollen,Sling glass
